Se,²¡Çø
66.51,A
37.1,A
52.27,A
62.63,A
72.8,A
46.32,A
56.48,A
67.91,A
74.81,A
63.08,A
48.17,A
42.71,A
58.97,A
57.12,A
54.91,A
71.01,A
43.92,A
48.74,A
62.13,A
54.63,A
52.04,B
61.71,B
64.58,B
64.17,B
57.13,B
51.79,B
47.72,B
50.92,B
33.93,B
51.31,B
53.16,B
40.68,B
43.94,B
56.48,B
68.75,B
61.05,B
64.68,B
50.54,B
67.79,B
69.3,B
75,C
52.7,C
99.43,C
97.69,C
89.35,C
72.06,C
110.5,C
83.87,C
77.07,C
74.86,C
105.71,C
84.55,C
84.4,C
98.41,C
76.44,C
80.35,C
112.94,C
84.33,C
77.92,C
74.82,C
98.69,D
85.62,D
77.57,D
82.23,D
96.16,D
105.51,D
103.42,D
98.22,D
83.72,D
104.54,D
80.56,D
105.67,D
107.56,D
104.93,D
76.15,D
79.32,D
84.06,D
83.12,D
62.23,D
91.73,D
